id,title,subtitle,authors,publisher,published_date,category,distribution_expense
9783319688374,Essentials of Business Analytics,An Introduction to the Methodology and its Applications,"Bhimasankaram Pochiraju, Sridhar Seshadri",Springer,07/10/2019,Business Analytics,4.55
9781466596092,Business Analytics,An Introduction,Jay Liebowitz,CRC Press,12/19/2013,Business Analytics,5.6
1292017430,Key Business Analytics,The 60+ Business Analysis Tools Every Manager Needs to Know,Bernard Marr,FT Press,1/18/2016,Business Analytics,4.22
9781119298588,Business Analytics for Managers,Taking Business Intelligence Beyond Reporting,"Gert H. N. Laursen, Jesper Thorlund",John Wiley & Sons,11/07/2016,Business Analytics,3.19
9781118572153,Data Mining and Business Analytics with R,,Johannes Ledolter,John Wiley & Sons,5/28/2013,Business Analytics,6.9
71807594,A PRACTITIONER'S GUIDE TO BUSINESS ANALYTICS: Using Data Analysis Tools to Improve Your Organization’s Decision Making and Strategy,,Randy Bartlett,McGraw-Hill Education,02/05/2013,Business Analytics,7.3
9783030870232,Business Analytics,Data Science for Business Problems,Walter R. Paczkowski,Springer Nature,01/03/2022,Business Analytics,4.55
9781484210017,Learn Business Analytics in Six Steps Using SAS and R,"A Practical, Step-by-Step Guide to Learning Business Analytics",Subhashini Sharma Tripathi,Apress,12/19/2016,Business Analytics,5.6
9781337225274,Business Analytics: Data Analysis & Decision Making,,"S. Christian Albright, Wayne L. Winston",Cengage Learning,3/31/2016,Business Analytics,4.22
1461404053,Business Analytics for Managers,,Wolfgang Jank,Springer,08/10/2011,Business Analytics,3.19
9781461443421,R for Business Analytics,,A Ohri,Springer Science & Business Media,9/14/2012,Business Analytics,6.9
9781119549840,Data Mining for Business Analytics,"Concepts, Techniques and Applications in Python","Galit Shmueli, Peter C. Bruce, Peter Gedeck, Nitin R. Patel",John Wiley & Sons,11/05/2019,Business Analytics,7.3
9781352007251,Business Analytics,A Management Approach,"Richard Vidgen, Sam Kirshner, Felix Tan",Red Globe Press,10/09/2019,Business Analytics,4.55
9781484205990,Interview Questions in Business Analytics,,Bhasker Gupta,Apress,08/04/2016,Business Analytics,5.6
9781484200438,Practical Business Analytics Using SAS,A Hands-on Guide,"Shailendra Kadre, Venkat Reddy Konasani",Apress,02/07/2015,Business Analytics,4.22
1133629601,Business Analytics: Data Analysis & Decision Making,,"S. Christian Albright, Wayne L. Winston",Cengage Learning,2/28/2014,Business Analytics,3.19
1484225139,Business Analytics Using R - A Practical Approach,,"Umesh Hodeghatta Rao, Umesh Nayak",Apress,02/05/2017,Business Analytics,6.9
9789082017939,An Introduction to Business Analytics,,Ger Koole,Lulu.com,3/13/2019,Business Analytics,7.3
9781461460800,Business Analytics,A Practitioner’s Guide,"Rahul Saxena, Anand Srinivasan",Springer Science & Business Media,12/05/2012,Business Analytics,4.55
9781118729274,Data Mining for Business Analytics,"Concepts, Techniques, and Applications with XLMiner","Galit Shmueli, Peter C. Bruce, Nitin R. Patel",John Wiley & Sons,4/18/2016,Business Analytics,5.6
1305627733,Essentials of Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann, David R. Anderson",Cengage Learning,3/24/2016,Business Analytics,4.22
9781119286554,Profit Driven Business Analytics,A Practitioner's Guide to Transforming Big Data into Added Value,"Wouter Verbeke, Bart Baesens, Cristian Bravo",John Wiley & Sons,10/09/2017,Business Analytics,3.19
9780071807609,A PRACTITIONER'S GUIDE TO BUSINESS ANALYTICS: Using Data Analysis Tools to Improve Your Organization’s Decision Making and Strategy,,Randy Bartlett,McGraw Hill Professional,1/25/2013,Business Analytics,6.9
9781118417089,Win with Advanced Business Analytics,Creating Business Value from Your Data,"Jean-Paul Isson, Jesse Harriott",John Wiley & Sons,9/25/2012,Business Analytics,7.3
9781439890707,Computational Business Analytics,,Subrata Das,CRC Press,12/14/2013,Business Analytics,4.55
1337406422,Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann, David R. Anderson",Cengage Learning,03/08/2018,Business Analytics,5.6
9780133552249,"Business Analytics Principles, Concepts, and Applications","What, Why, and How","Marc J. Schniederjans, Dara G. Schniederjans, Christopher M. Starkey",Pearson Education,4/23/2014,Business Analytics,4.22
9780470000000,Business Analytics for Managers,Taking Business Intelligence Beyond Reporting,"Gert Laursen, Jesper Thorlund",John Wiley & Sons,7/13/2010,Business Analytics,3.19
9781650000000,A Primer on Business Analytics,Perspectives from the Financial Services Industry,Yudhvir Seetharam,IAP,01/01/2022,Business Analytics,6.9
9781120000000,Machine Learning for Business Analytics,"Concepts, Techniques and Applications in RapidMiner","Galit Shmueli, Peter C. Bruce, Amit V. Deokar, Nitin R. Patel",John Wiley & Sons,3/14/2023,Business Analytics,7.3
